DEBUG 2025-04-29 17:48:31,599 plugin 76404 101244 load pyexcel.plugins.sources.file_output.WriteSheetToFile later
DEBUG 2025-04-29 17:48:31,599 plugin 76404 101244 add pyexcel.plugins.sources.file_output.WriteBookToFile as 'source' plugin
DEBUG 2025-04-29 17:48:31,599 plugin 76404 101244 load pyexcel.plugins.sources.file_output.WriteBookToFile later
DEBUG 2025-04-29 17:48:31,599 plugin 76404 101244 add pyexcel.plugins.sources.output_to_memory.WriteSheetToMemory as 'source' plugin
DEBUG 2025-04-29 17:48:31,600 plugin 76404 101244 load pyexcel.plugins.sources.output_to_memory.WriteSheetToMemory later
DEBUG 2025-04-29 17:48:31,600 source_plugin 76404 101244 Instance attribute: xlsx xls tsvz csvz tsv csv ods xlsm texttable , 
DEBUG 2025-04-29 17:48:31,600 source_plugin 76404 101244 Source registry: 
DEBUG 2025-04-29 17:48:31,600 plugin 76404 101244 add pyexcel.plugins.sources.output_to_memory.WriteBookToMemory as 'source' plugin
DEBUG 2025-04-29 17:48:31,600 plugin 76404 101244 load pyexcel.plugins.sources.output_to_memory.WriteBookToMemory later
DEBUG 2025-04-29 17:48:31,601 source_plugin 76404 101244 Instance attribute: xlsx xls tsvz csvz tsv csv ods xlsm texttable , 
DEBUG 2025-04-29 17:48:31,601 source_plugin 76404 101244 Source registry: 
DEBUG 2025-04-29 17:48:31,601 plugin 76404 101244 add pyexcel.plugins.sources.pydata.bookdict.BookDictSource as 'source' plugin
DEBUG 2025-04-29 17:48:31,601 plugin 76404 101244 load pyexcel.plugins.sources.pydata.bookdict.BookDictSource later
DEBUG 2025-04-29 17:48:31,602 source_plugin 76404 101244 Instance attribute: bookdict , bookdict , bookdict , bookdict , 
DEBUG 2025-04-29 17:48:31,602 source_plugin 76404 101244 Source registry: 
DEBUG 2025-04-29 17:48:31,602 plugin 76404 101244 add pyexcel.plugins.sources.pydata.dictsource.DictSource as 'source' plugin
DEBUG 2025-04-29 17:48:31,602 plugin 76404 101244 load pyexcel.plugins.sources.pydata.dictsource.DictSource later
DEBUG 2025-04-29 17:48:31,604 source_plugin 76404 101244 Instance attribute: dict , dict , dict , dict , 
DEBUG 2025-04-29 17:48:31,604 source_plugin 76404 101244 Source registry: 
DEBUG 2025-04-29 17:48:31,604 plugin 76404 101244 add pyexcel.plugins.sources.pydata.arraysource.ArraySource as 'source' plugin
DEBUG 2025-04-29 17:48:31,604 plugin 76404 101244 load pyexcel.plugins.sources.pydata.arraysource.ArraySource later
DEBUG 2025-04-29 17:48:31,605 source_plugin 76404 101244 Instance attribute: array , array , array , array , 
